"","state.county","date","cases","deaths","per100k","days_since_case100","days_since_death10"
"2855","Virginia-Mathews",2020-07-10,7,0,79.2393026941363,0,0
"2856","Virginia-Mecklenburg",2020-07-10,253,29,827.148788701082,74,73
"2857","Virginia-Middlesex",2020-07-10,16,0,151.200151200151,0,0
"2858","Virginia-Montgomery",2020-07-10,177,3,179.631602983711,21,0
"2859","Virginia-Nelson",2020-07-10,22,0,147.35432016075,0,0
"2860","Virginia-New Kent",2020-07-10,63,1,272.833571521372,0,0
"2861","Virginia-Newport News city",2020-07-10,679,10,378.853396568559,85,65
"2862","Virginia-Norfolk city",2020-07-10,1360,15,560.265631823088,86,10
"2863","Virginia-Northampton",2020-07-10,273,28,2331.34073441503,69,53
"2864","Virginia-Northumberland",2020-07-10,38,1,314.17941298057,0,0
"2865","Virginia-Norton city",2020-07-10,4,0,100.477267018337,0,0
"2866","Virginia-Nottoway",2020-07-10,117,5,768.11974789916,18,0
"2867","Virginia-Orange",2020-07-10,158,3,426.439232409382,42,0
"2868","Virginia-Page",2020-07-10,296,23,1238.39009287926,72,65
"2869","Virginia-Patrick",2020-07-10,48,1,272.603362108133,0,0
"2870","Virginia-Petersburg city",2020-07-10,320,8,1020.86390608052,45,0
"2871","Virginia-Pittsylvania",2020-07-10,148,2,245.219869436988,15,0
"2872","Virginia-Poquoson city",2020-07-10,20,0,162.985901719501,0,0
"2873","Virginia-Portsmouth city",2020-07-10,627,18,664.208987478548,78,57
"2874","Virginia-Powhatan",2020-07-10,87,2,293.403480372319,0,0
"2875","Virginia-Prince Edward",2020-07-10,236,6,1034.99693009385,50,0
"2876","Virginia-Prince George",2020-07-10,255,2,664.8762808646,43,0
"2877","Virginia-Prince William",2020-07-10,7742,156,1646.06078646071,101,81
"2878","Virginia-Pulaski",2020-07-10,51,2,149.880976871308,0,0
"2879","Virginia-Radford city",2020-07-10,16,0,87.6760370431256,0,0
"2880","Virginia-Rappahannock",2020-07-10,31,0,420.624151967436,0,0
"2881","Virginia-Richmond",2020-07-10,308,6,3413.49883630721,75,0
"2882","Virginia-Richmond city",2020-07-10,2361,35,1024.57949278759,96,81
"2883","Virginia-Roanoke",2020-07-10,309,6,328.074236086043,43,0
"2884","Virginia-Roanoke city",2020-07-10,552,10,556.771532029493,61,37
"2885","Virginia-Rockbridge",2020-07-10,32,0,141.762282372746,0,0
"2886","Virginia-Rockingham",2020-07-10,771,12,940.84053302094,84,13
"2887","Virginia-Russell",2020-07-10,18,0,67.7048070412999,0,0
"2888","Virginia-Salem city",2020-07-10,87,3,343.859926485119,0,0
"2889","Virginia-Scott",2020-07-10,11,2,51.0062134841881,0,0
"2890","Virginia-Shenandoah",2020-07-10,606,35,1389.39838591343,72,57
"2891","Virginia-Smyth",2020-07-10,43,1,142.838161041722,0,0
"2892","Virginia-Southampton",2020-07-10,170,10,964.210765129601,76,1
"2893","Virginia-Spotsylvania",2020-07-10,1077,31,790.66182138531,77,31
"2894","Virginia-Stafford",2020-07-10,1048,6,685.496003453644,87,0
"2895","Virginia-Staunton city",2020-07-10,90,0,360.981870688272,0,0
"2896","Virginia-Suffolk city",2020-07-10,526,42,571.068745385851,81,73
"2897","Virginia-Surry",2020-07-10,17,1,264.715042042977,0,0
"2898","Virginia-Sussex",2020-07-10,211,7,1890.85043462676,51,0
"2899","Virginia-Tazewell",2020-07-10,24,0,59.1205813523833,0,0
"2900","Virginia-Unknown",2020-07-10,107,1,1.2535851657058,3,0
"2901","Virginia-Virginia Beach city",2020-07-10,1663,30,369.576908888069,100,78
"2902","Virginia-Warren",2020-07-10,304,8,756.896723433921,53,0
"2903","Virginia-Washington",2020-07-10,76,4,141.421659843692,0,0
"2904","Virginia-Waynesboro city",2020-07-10,117,0,517.012814847547,4,0
"2905","Virginia-Westmoreland",2020-07-10,171,2,949.208992506245,14,0
"2906","Virginia-Williamsburg city",2020-07-10,78,6,521.599572020864,0,0
"2907","Virginia-Winchester city",2020-07-10,336,3,1196.66642923285,52,0
"2908","Virginia-Wise",2020-07-10,36,2,96.3004574271728,0,0
"2909","Virginia-Wythe",2020-07-10,57,1,198.717054804072,0,0
"2910","Virginia-York",2020-07-10,144,3,210.896309314587,19,0
"2911","Washington-Adams",2020-07-10,222,0,1110.94430265726,25,0
"2912","Washington-Asotin",2020-07-10,21,2,92.9944203347799,0,0
"2913","Washington-Benton",2020-07-10,2407,92,1177.65056998875,104,99
"2914","Washington-Chelan",2020-07-10,516,8,668.39378238342,74,0
"2915","Washington-Clallam",2020-07-10,50,0,64.6571232752712,0,0
"2916","Washington-Clark",2020-07-10,1166,32,238.816486120584,103,96
