"","country","date","update","cases","new_cases","deaths","new_deaths","recovered","new_recovered","active_cases","per100k","newper100k","activeper100k","days_since_case100","days_since_death10"
"3204","Eritrea",2020-05-04,104,39,0,0,0,26,0,13,1.1,0,0.4,0,0
"3289","Estonia",2020-05-04,104,1703,3,55,0,259,0,1389,128.3,0.2,104.7,52,33
"3303","Eswatini",2020-05-04,104,116,4,1,0,12,0,103,10,0.3,8.9,5,0
"3349","Ethiopia",2020-05-04,104,140,5,3,0,75,0,62,0.1,0,0.1,17,0
"3415","Fiji",2020-05-04,104,18,0,0,0,14,0,4,2,0,0.4,0,0
"3487","Finland",2020-05-04,104,5327,73,240,10,3500,500,1587,96.1,1.3,28.6,53,37
"3577","France",2020-05-04,104,169583,658,25204,304,51476,591,92903,259.8,1,142.3,66,59
"3679","Gabon",2020-05-04,104,367,32,6,1,93,8,268,16.5,1.4,12,18,0
"3723","Georgia",2020-05-04,104,593,4,9,0,223,0,361,14.9,0.1,9,36,0
"3832","Germany",2020-05-04,104,166152,488,6993,127,132700,2100,26459,198.3,0.6,31.6,65,51
"3876","Ghana",2020-05-04,104,2719,550,18,0,294,65,2407,8.8,1.8,7.7,40,11
"3987","Greece",2020-05-04,104,2632,6,146,2,1374,0,1112,25.3,0.1,10.7,53,45
"3995","Grenada",2020-05-04,104,21,0,0,0,13,0,8,18.6,0,7.1,0,0
"4034","Guatemala",2020-05-04,104,730,27,19,2,79,7,632,4.1,0.2,3.5,25,12
"4099","Guinea",2020-05-04,104,1710,124,9,2,450,45,1251,13,0.9,9.5,31,0
"4155","Guinea-Bissau",2020-05-04,104,413,156,1,0,19,0,393,21,7.9,20,6,0
"4190","Guyana",2020-05-04,104,92,10,9,0,27,5,56,11.7,1.3,7.1,0,0
"4247","Haiti",2020-05-04,104,100,12,11,2,10,0,79,0.9,0.1,0.7,1,1
"4330","Holy See (Vatican City)",2020-05-04,104,11,0,0,0,2,0,9,1100,0,900,0,0
"4372","Honduras",2020-05-04,104,1178,123,83,1,122,4,973,11.9,1.2,9.8,37,34
"4394","Hong Kong",2020-05-04,104,1040,1,4,0,900,21,136,13.9,0,1.8,64,0
"4535","Hungary",2020-05-04,104,3035,37,351,11,630,1,2054,31.4,0.4,21.3,45,41
"4612","Iceland",2020-05-04,104,1799,0,10,0,1723,6,66,527.6,0,19.4,54,15
"4660","India",2020-05-04,104,46437,3932,1566,175,12847,1072,32024,3.4,0.3,2.3,52,43
"4738","Indonesia",2020-05-04,104,11587,395,864,19,1954,78,8769,4.2,0.1,3.2,51,48
"4789","Iran (Islamic Republic of)",2020-05-04,104,98647,1223,6277,74,79379,957,12991,117.4,1.5,15.5,69,71
"4892","Iraq",2020-05-04,104,2346,50,98,1,1544,54,704,5.8,0.1,1.8,53,52
"4959","Ireland",2020-05-04,104,21772,266,1319,16,13386,0,7067,440.9,5.4,143.1,52,40
"5022","Israel",2020-05-04,104,16246,38,235,3,10064,315,5947,187.7,0.4,68.7,54,39
"5082","Italy",2020-05-04,104,211938,1221,29079,195,82879,1225,99980,350.5,2,165.4,72,70
"5210","Jamaica",2020-05-04,104,471,2,9,0,38,0,424,15.9,0.1,14.3,20,0
"5266","Japan",2020-05-04,104,15078,201,536,49,4156,175,10386,11.9,0.2,8.2,74,57
"5345","Jordan",2020-05-04,104,465,4,9,0,370,3,86,4.6,0,0.8,44,0
"5415","Kazakhstan",2020-05-04,104,4049,129,29,2,1173,89,2847,21.6,0.7,15.2,40,25
"5455","Kenya",2020-05-04,104,490,25,24,0,173,6,293,0.9,0,0.5,33,20
"5519","Kosovo",2020-05-04,104,855,4,26,4,403,22,426,47.5,0.2,23.7,35,19
"5575","Kuwait",2020-05-04,104,5278,295,40,2,1947,171,3291,123.6,6.9,77.1,52,14
"5646","Kyrgyzstan",2020-05-04,104,830,35,10,0,575,11,245,12.7,0.5,3.8,35,2
